frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
42169.65034285822,264959.7274431474,1.299999993961178e-09,4.4988093656587733e-14,6.788531047491856e-08,6.559229063055067e-10,6.918531046887974e-08,6.559678943991633e-10,0.0009629629584897615,3.332451381969462e-08,0.05028541516660635,0.0004858688194855605,0.051248378125096104,0.00048590214399938026,0.0942483781250961,0.0006734936310291286
56234.13251903491,353329.4752055899,1.299999996604121e-09,3.373631151130056e-14,6.797326043607933e-08,5.680341112319272e-10,6.927326043268345e-08,5.680678475434385e-10,0.0009629629604474971,2.4989860378741156e-08,0.050350563285984695,0.00042076600831994607,0.05131352624643219,0.00042079099818032484,0.09431352624643219,0.0006709482666258825
74989.42093324558,471172.42780167394,1.2999999980903566e-09,2.5298664895074063e-14,6.804942188589031e-08,4.919186227679312e-10,6.934942188398067e-08,4.919439214328262e-10,0.0009629629615484123,1.8739751774128935e-08,0.050406979174733565,0.0003643841650132824,0.05136994213628198,0.00036440290476505644,0.09436994213628197,0.0006979929836486416
100000.0,628318.5307179586,1.2999999989261285e-09,1.8971322413455776e-14,6.811537501990884e-08,4.2599999688958327e-10,6.941537501883497e-08,4.2601896821199674e-10,0.0009629629621675027,1.405283141737465e-08,0.050455833348080625,0.0003155555532515432,0.05141879631024813,0.0003155696060829606,0.09441879631024813,0.0007604191258312753
133352.1432163324,837876.2269377676,1.2999999993961179e-09,1.422648486542224e-14,6.817248808345582e-08,3.6891280909074573e-10,6.947248808285194e-08,3.6892703557561117e-10,0.000962962962515643,1.0538136937349807e-08,0.05049813932107839,0.0002732687474746265,0.05146110228359404,0.00027327928561156383,0.09446110228359403,0.0008664956542835034
177827.94100389228,1117325.9061216542,1.2999999996604116e-09,1.0668358638371875e-14,6.822194595971122e-08,3.194743378413698e-10,6.952194595937164e-08,3.1948500620000816e-10,0.000962962962711416,7.902487880275463e-09,0.05053477478497128,0.00023664765766027394,0.051497737747682695,0.0002366555601481542,0.09449773774768269,0.0010277223016822855
237137.37056616554,1489978.0425245322,1.2999999998090357e-09,8.000140373855655e-15,6.826477471690683e-08,2.766601331472507e-10,6.956477471671587e-08,2.7666813328762457e-10,0.000962962962821508,5.926029906559744e-09,0.05056649979030136,0.00020493343196092647,0.05152946275312287,0.00020493935799083303,0.09452946275312286,0.001259843812098202
316227.7660168379,1986917.65315922,1.299999999892613e-09,5.99925894351513e-15,6.830186289318382e-08,2.395828701993411e-10,6.960186289307643e-08,2.395888694582846e-10,0.0009629629628834171,4.4438955137149115e-09,0.0505939725134695,0.00017746879274025266,0.051556935476352914,0.0001774732366357664,0.09455693547635291,0.0015842109350724942
421696.5034285823,2649597.274431474,1.2999999999396122e-09,4.498809543425439e-15,6.833397993100389e-08,2.0747401654252176e-10,6.96339799309435e-08,2.0747851535206517e-10,0.0009629629629182313,3.332451513648473e-09,0.050617762911854734,0.00015368445669816427,0.05158072587477297,0.0001536877891496779,0.09458072587477297,0.0020296026594471615
562341.3251903491,3533294.7520558992,1.2999999999660412e-09,3.373631226093646e-15,6.836179214015247e-08,1.7966794485885934e-10,6.966179214011851e-08,1.7967131849008545e-10,0.0009629629629378083,2.498986093402701e-09,0.05063836454826109,0.00013308736656211803,0.0516013275111989,0.00013308986554821145,0.0946013275111989,0.0026346625500037885
749894.2093324559,4711724.2780167395,1.2999999999809036e-09,2.529866521119292e-15,6.838587652117507e-08,1.5558816642128287e-10,6.968587652115598e-08,1.55590696287804e-10,0.0009629629629488175,1.8739752008291054e-09,0.050656204830500054,0.00011525049364539473,0.05161916779344888,0.00011525236762059556,0.09461916779344887,0.0034511531564564474
1000000.0,6283185.307179586,1.2999999999892612e-09,1.8971322546761995e-15,6.84067327359853e-08,1.3473540315057898e-10,6.970673273597456e-08,1.3473730028283366e-10,0.0009629629629550083,1.4052831516119998e-09,0.05067165387850764,9.980400233376222e-05,0.051634616841462644,9.980540761691383e-05,0.09463461684146264,0.004548300605100061
1333521.432163324,8378762.269377677,1.2999999999939612e-09,1.4226484921637003e-15,6.842479347399304e-08,1.1667725348966072e-10,6.9724793473987e-08,1.1667867613815288e-10,0.0009629629629584899,1.0538136978990374e-09,0.050685032202957815,8.642759517752646e-05,0.0516479951659163,8.642864899122436e-05,0.0946479951659163,0.00601859233571062
1778279.410038923,11173259.061216542,1.2999999999966043e-09,1.0668358662077446e-15,6.8440433428801e-08,1.0103923970484655e-10,6.97404334287976e-08,1.0104030654071276e-10,0.0009629629629604476,7.902487897835146e-10,0.050696617354667406,7.48438812628493e-05,0.05165958031762786,7.484467151163909e-05,0.09465958031762786,0.007985512086852952
2371373.7056616554,14899780.425245322,1.2999999999980897e-09,8.000140383852209e-16,6.845397707170983e-08,8.74970523823306e-11,6.975397707170792e-08,8.749785239636898e-11,0.000962962962961548,5.926029913964599e-10,0.050706649682748024,6.481263139431896e-05,0.05166961264570957,6.481322399731036e-05,0.09466961264570957,0.010613857765070999
3162277.6601683795,19869176.5315922,1.2999999999989262e-09,5.999258947730644e-16,6.846570538329415e-08,7.576983234950932e-11,6.976570538329307e-08,7.577043227540409e-11,0.0009629629629621676,4.443895516837514e-10,0.050715337320958634,5.6125801740377276e-05,0.05167830028392079,5.6126246129928956e-05,0.0946783002839208,0.014123503230497209
